adhesive,primer,thickness,peelstrength,Trt
1,1,1,60,T111
1,1,1,63,T111
1,1,1,57,T111
1,1,1,53,T111
1,1,1,56,T111
1,1,1,57,T111
2,1,1,57,T211
2,1,1,52,T211
2,1,1,55,T211
2,1,1,59,T211
2,1,1,56,T211
2,1,1,54,T211
3,1,1,19.8,T311
3,1,1,19.5,T311
3,1,1,19.7,T311
3,1,1,21.6,T311
3,1,1,21.1,T311
3,1,1,19.3,T311
4,1,1,52,T411
4,1,1,53,T411
4,1,1,44,T411
4,1,1,48,T411
4,1,1,48,T411
4,1,1,53,T411
1,1,2,73,T112
1,1,2,79,T112
1,1,2,76,T112
1,1,2,69,T112
1,1,2,78,T112
1,1,2,74,T112
2,1,2,52,T212
2,1,2,56,T212
2,1,2,57,T212
2,1,2,58,T212
2,1,2,52,T212
2,1,2,53,T212
3,1,2,32,T312
3,1,2,33,T312
3,1,2,32,T312
3,1,2,34,T312
3,1,2,31,T312
3,1,2,27.3,T312
4,1,2,77,T412
4,1,2,78,T412
4,1,2,70,T412
4,1,2,74,T412
4,1,2,74,T412
4,1,2,81,T412
1,2,1,59,T121
1,2,1,48,T121
1,2,1,51,T121
1,2,1,49,T121
1,2,1,45,T121
1,2,1,48,T121
2,2,1,51,T221
2,2,1,44,T221
2,2,1,42,T221
2,2,1,54,T221
2,2,1,47,T221
2,2,1,56,T221
3,2,1,29.4,T321
3,2,1,32.2,T321
3,2,1,37.1,T321
3,2,1,31.5,T321
3,2,1,31.3,T321
3,2,1,33,T321
4,2,1,49,T421
4,2,1,59,T421
4,2,1,55,T421
4,2,1,54,T421
4,2,1,49,T421
4,2,1,58,T421
1,2,2,78,T122
1,2,2,72,T122
1,2,2,72,T122
1,2,2,75,T122
1,2,2,71,T122
1,2,2,72,T122
2,2,2,52,T222
2,2,2,42,T222
2,2,2,51,T222
2,2,2,47,T222
2,2,2,57,T222
2,2,2,45,T222
3,2,2,37.8,T322
3,2,2,36.7,T322
3,2,2,35.4,T322
3,2,2,40.2,T322
3,2,2,40.7,T322
3,2,2,42.6,T322
4,2,2,77,T422
4,2,2,76,T422
4,2,2,79,T422
4,2,2,78,T422
4,2,2,79,T422
4,2,2,79,T422
